it, fluid_time (ms), bcs_time (ms), intvar_time (ms), intvar_bcs_time (ms), fluid_threads, bcs_threads, intvar_threads, intvar_bcs_threads
0,151.25,669.97,250.491,0,216,216,512,512
1,145.594,639.424,238.705,0,216,216,512,512
2,138.521,636.958,235.384,0,216,216,512,512
3,138.906,636.815,235.912,0,216,216,512,512
4,138.515,635.699,237.26,0,216,216,512,512
5,139.389,622.892,242.69,0,216,216,512,512
6,144.519,642.479,235.54,0,216,216,512,512
7,136.579,618.63,236.821,0,216,216,512,512
8,138.655,636.285,244.034,0,216,216,512,512
9,141.656,651.282,242.938,0,216,216,512,512
