it, fluid_time_nodiff(ms), fluid_time (ms), bcs_time (ms), intvar_time (ms), intvar_time_nodiff (ms), intvar_bcs_time (ms), d2h_time (ms), fluid_threads, bcs_threads, intvar_threads, intvar_bcs_threads
0,79.7522,130.097,365.543,239.431,186.137,11.1218,12.4368,216,216,216,216
1,82.0686,135.542,357.883,225.53,176.139,11.2462,11.9148,216,216,216,216
2,82.7475,132.409,354.909,225.509,176.186,11.1725,11.8965,216,216,216,216
3,82.6153,132.217,355.869,226.65,177.03,11.1531,11.915,216,216,216,216
4,82.8745,132.785,383.366,256.89,200.46,12.2785,12.9193,216,216,216,216
5,90.8415,144.849,405.113,271.649,203.797,12.5616,15.2704,216,216,216,216
6,92.1201,148.439,417.513,259.103,207.353,11.9842,12.8917,216,216,216,216
7,91.2767,143.559,397.187,255.546,200.103,12.381,14.3285,216,216,216,216
8,89.3455,139.066,375.206,254.1,186.327,12.0584,13.0265,216,216,216,216
9,90.151,144.923,384.619,234.238,183.235,11.5239,12.6105,216,216,216,216
