it, fluid_time_nodiff(ms), fluid_time (ms), bcs_time (ms), intvar_time (ms), intvar_time_nodiff (ms), intvar_bcs_time (ms), d2h_time (ms), fluid_threads, bcs_threads, intvar_threads, intvar_bcs_threads
0,90.3134,143.291,387.475,242.015,189.841,2364.11,14.3625,216,216,216,216
1,90.9826,148.04,417.888,266.66,206.305,2475.4,15.0414,216,216,216,216
2,100.894,162.109,450.235,293.561,224.873,2568.51,18.6517,216,216,216,216
3,99.9174,161.375,447.236,281.109,217.442,2577.66,16.8657,216,216,216,216
4,102.14,168.226,438.277,277.815,214.072,2653.2,17.8619,216,216,216,216
5,104.55,165.631,437.29,275.429,205.034,2449.43,13.6297,216,216,216,216
6,96.8723,159.529,417.351,276.242,210.706,2409.25,16.9971,216,216,216,216
7,99.3874,150.383,422.43,260.269,197.931,2385.13,14.2009,216,216,216,216
8,95.2779,160.249,435.392,278.003,213.304,2558.93,13.9778,216,216,216,216
9,97.7268,159.592,441.393,270.87,212.152,2548.79,16.8655,216,216,216,216
