it, fluid_time_nodiff(ms), fluid_time (ms), bcs_time (ms), intvar_time (ms), intvar_time_nodiff (ms), intvar_bcs_time (ms), d2h_time (ms), fluid_threads, bcs_threads, intvar_threads, intvar_bcs_threads
0,88.6306,128.48,349.856,221.258,171.855,2520.41,12.3833,216,216,216,216
1,86.1597,129.035,352.389,222.821,173.182,2530.19,12.124,216,216,216,216
2,87.0582,130.089,355.201,224.706,174.553,2549.5,11.8474,216,216,216,216
3,86.7182,130.024,355.28,224.593,174.526,2549.76,11.8098,216,216,216,216
4,86.7015,130.189,355.235,224.585,174.541,2549.43,11.8306,216,216,216,216
5,86.5982,130.011,372.466,269.21,200.764,3187.51,13.9311,216,216,216,216
6,101.793,171.653,468.569,296.655,227.926,3257,13.6546,216,216,216,216
7,101.436,160.283,463.293,291.569,227.411,3354.88,12.7866,216,216,216,216
8,96.8159,156.678,471.368,280.939,226.018,3404.12,14.2903,216,216,216,216
9,102.015,170.113,469.427,294.464,226.88,3240.08,13.1142,216,216,216,216
