it, fluid_time (ms), bcs_time (ms), swap_time (ms), numblocks_x, numblocks_y, numblocks_z, numthreadsper_x, numthreadsper_y, numthreadsper_z
0,6713.65,1059.83,12930.1,30,30,30,32,16,2
1,6001.59,1049.01,12815.5,30,30,30,32,16,2
2,6035.66,1057.53,12919.3,30,30,30,32,16,2
3,6048.39,1056.77,12928.2,30,30,30,32,16,2
4,6049.12,1057.35,12921.3,30,30,30,32,16,2
5,6097.53,1066.07,13028.2,30,30,30,32,16,2
6,6099.33,1065.96,13027.2,30,30,30,32,16,2
7,6097.99,1065.63,13026,30,30,30,32,16,2
8,6096.62,1065.78,13037.7,30,30,30,32,16,2
9,6100.38,1066.09,13029.4,30,30,30,32,16,2
10,6100.78,1065.98,13026,30,30,30,32,16,2
11,6101.92,1066.15,13033.5,30,30,30,32,16,2
12,6101.91,1066.43,13030.8,30,30,30,32,16,2
13,6100.07,1065.72,13024.2,30,30,30,32,16,2
14,6101.01,1066.52,13030,30,30,30,32,16,2
15,6104.07,1066.14,13032.7,30,30,30,32,16,2
16,6100.04,1066.15,13049.3,30,30,30,32,16,2
17,6103.58,1066.39,13027.2,30,30,30,32,16,2
18,6100.17,1065.87,13033.7,30,30,30,32,16,2
19,6102.83,1066.24,13028.6,30,30,30,32,16,2
20,6104.2,1065.88,13025.9,30,30,30,32,16,2
21,6102.84,1066.2,13028.2,30,30,30,32,16,2
22,6100.76,1066.22,13029.8,30,30,30,32,16,2
23,6100.97,1066.39,13027,30,30,30,32,16,2
24,6102.02,1066.14,13025.3,30,30,30,32,16,2
