it, fluid_time_nodiff(ms), fluid_time (ms), bcs_time (ms), intvar_time (ms), intvar_time_nodiff (ms), intvar_bcs_time (ms), d2h_time (ms), fluid_threads, bcs_threads, intvar_threads, intvar_bcs_threads
0,13.1346,20.8001,111.563,37.5828,30.1563,1151.2,1.81494,216,216,216,216
1,13.1485,21.6531,108.327,36.6366,28.5724,1136.17,1.68314,216,216,216,216
2,12.9673,21.0787,107.092,36.2158,28.251,1149.56,1.73199,216,216,216,216
3,13.0223,20.7205,109.697,38.6378,29.6929,1200.31,1.71499,216,216,216,216
4,13.7451,21.7903,111.619,38.9182,29.0393,1256.26,1.68734,216,216,216,216
5,12.9528,21.388,114.1,36.3992,31.7079,1251.12,1.81781,216,216,216,216
6,12.9829,21.6854,113.776,37.9119,29.3853,1267.69,1.87688,216,216,216,216
7,14.3588,22.9359,121.27,41.4243,33.2241,1158.23,1.76323,216,216,216,216
8,13.1606,22.0939,111.15,38.6749,28.5306,1173.06,1.74636,216,216,216,216
9,12.9768,20.6253,105.845,35.7943,28.0511,1138.23,1.70707,216,216,216,216
