i,j,k
20,28,0
20,29,0
20,30,0
20,31,0
20,32,0
20,33,0
20,34,0
20,35,0
20,36,0
20,37,0
21,26,0
21,27,0
21,28,0
21,29,0
21,30,0
21,31,0
21,32,0
21,33,0
21,34,0
21,35,0
21,37,0
22,25,0
22,26,0
22,27,0
22,36,0
22,37,0
22,38,0
23,24,0
23,25,0
23,37,0
23,38,0
23,39,0
24,23,0
24,24,0
24,38,0
24,39,0
24,40,0
25,22,0
25,23,0
25,39,0
25,40,0
25,41,0
25,42,0
26,21,0
26,22,0
26,40,0
26,41,0
26,43,0
27,21,0
27,22,0
27,41,0
27,42,0
27,43,0
28,20,0
28,21,0
28,41,0
28,42,0
28,44,0
29,20,0
29,21,0
29,42,0
29,44,0
30,20,0
30,21,0
30,42,0
30,43,0
30,44,0
31,20,0
31,21,0
31,42,0
31,43,0
31,44,0
32,20,0
32,21,0
32,42,0
32,43,0
32,44,0
33,20,0
33,21,0
33,42,0
33,43,0
33,44,0
34,20,0
34,21,0
34,42,0
34,44,0
35,20,0
35,21,0
35,41,0
35,42,0
35,44,0
36,21,0
36,22,0
36,41,0
36,43,0
37,20,0
37,21,0
37,22,0
37,23,0
37,40,0
37,41,0
37,43,0
38,22,0
38,23,0
38,24,0
38,39,0
38,40,0
38,42,0
39,23,0
39,24,0
39,25,0
39,38,0
39,39,0
39,41,0
40,24,0
40,25,0
40,26,0
40,37,0
40,38,0
40,40,0
41,25,0
41,26,0
41,27,0
41,28,0
41,35,0
41,36,0
41,37,0
41,39,0
42,25,0
42,27,0
42,28,0
42,29,0
42,30,0
42,31,0
42,32,0
42,33,0
42,34,0
42,35,0
42,38,0
43,26,0
43,27,0
43,29,0
43,30,0
43,31,0
43,32,0
43,33,0
43,36,0
43,37,0
44,28,0
44,29,0
44,30,0
44,31,0
44,32,0
44,33,0
44,34,0
44,35,0
19,28,1
19,29,1
19,30,1
19,31,1
19,32,1
19,33,1
19,34,1
19,35,1
20,26,1
20,27,1
20,29,1
20,30,1
20,31,1
20,32,1
20,33,1
20,34,1
20,36,1
20,37,1
21,25,1
21,26,1
21,27,1
21,36,1
21,37,1
21,38,1
22,24,1
22,25,1
22,38,1
22,39,1
23,23,1
23,24,1
23,28,1
23,29,1
23,30,1
23,31,1
23,32,1
23,33,1
23,34,1
23,35,1
23,39,1
23,40,1
24,22,1
24,23,1
24,26,1
24,27,1
24,28,1
24,29,1
24,30,1
24,31,1
24,32,1
24,33,1
24,34,1
24,35,1
24,36,1
24,37,1
24,40,1
24,41,1
25,21,1
25,22,1
25,25,1
25,26,1
25,27,1
25,28,1
25,29,1
25,30,1
25,31,1
25,32,1
25,33,1
25,34,1
25,35,1
25,36,1
25,37,1
25,38,1
25,41,1
25,42,1
26,20,1
26,21,1
26,24,1
26,25,1
26,26,1
26,27,1
26,28,1
26,29,1
26,30,1
26,31,1
26,32,1
26,33,1
26,34,1
26,35,1
26,36,1
