Nx,Ny,Nz,GB
352.0,352.0,1024.0,4.7265625
352.0,352.0,1008.0,4.6527099609375
352.0,352.0,992.0,4.578857421875
352.0,352.0,976.0,4.5050048828125
368.0,368.0,976.0,4.923858642578125
368.0,368.0,960.0,4.8431396484375
368.0,368.0,944.0,4.762420654296875
368.0,368.0,928.0,4.68170166015625
368.0,368.0,912.0,4.600982666015625
384.0,384.0,896.0,4.921875
368.0,368.0,896.0,4.520263671875
384.0,384.0,880.0,4.833984375
384.0,384.0,864.0,4.74609375
384.0,384.0,848.0,4.658203125
384.0,384.0,832.0,4.5703125
400.0,400.0,832.0,4.9591064453125
400.0,400.0,816.0,4.863739013671875
400.0,400.0,800.0,4.76837158203125
400.0,400.0,784.0,4.673004150390625
416.0,416.0,768.0,4.951171875
400.0,400.0,768.0,4.57763671875
416.0,416.0,752.0,4.8480224609375
416.0,416.0,736.0,4.744873046875
416.0,416.0,720.0,4.6417236328125
432.0,432.0,704.0,4.8944091796875
416.0,416.0,704.0,4.53857421875
432.0,432.0,688.0,4.783172607421875
432.0,432.0,672.0,4.67193603515625
448.0,448.0,656.0,4.90478515625
432.0,432.0,656.0,4.560699462890625
448.0,448.0,640.0,4.78515625
448.0,448.0,624.0,4.66552734375
464.0,464.0,608.0,4.87640380859375
448.0,448.0,608.0,4.5458984375
464.0,464.0,592.0,4.748077392578125
464.0,464.0,576.0,4.6197509765625
480.0,480.0,576.0,4.94384765625
480.0,480.0,560.0,4.8065185546875
496.0,496.0,544.0,4.98565673828125
480.0,480.0,544.0,4.669189453125
480.0,480.0,528.0,4.5318603515625
496.0,496.0,528.0,4.839019775390625
496.0,496.0,512.0,4.6923828125
496.0,496.0,496.0,4.545745849609375
512.0,512.0,496.0,4.84375
528.0,528.0,480.0,4.98504638671875
512.0,512.0,480.0,4.6875
528.0,528.0,464.0,4.818878173828125
512.0,512.0,464.0,4.53125
544.0,544.0,448.0,4.93896484375
528.0,528.0,448.0,4.6527099609375
544.0,544.0,432.0,4.7625732421875
560.0,560.0,416.0,4.85992431640625
544.0,544.0,416.0,4.586181640625
560.0,560.0,400.0,4.673004150390625
576.0,576.0,400.0,4.94384765625
576.0,576.0,384.0,4.74609375
592.0,592.0,368.0,4.804534912109375
576.0,576.0,368.0,4.54833984375
608.0,608.0,352.0,4.847412109375
592.0,592.0,352.0,4.59564208984375
624.0,624.0,336.0,4.873809814453125
608.0,608.0,336.0,4.6270751953125
624.0,624.0,320.0,4.6417236328125
640.0,640.0,320.0,4.8828125
640.0,640.0,304.0,4.638671875
656.0,656.0,304.0,4.873504638671875
672.0,672.0,288.0,4.844970703125
656.0,656.0,288.0,4.61700439453125
688.0,688.0,272.0,4.796295166015625
672.0,672.0,272.0,4.5758056640625
704.0,704.0,256.0,4.7265625
688.0,688.0,256.0,4.51416015625
720.0,720.0,256.0,4.94384765625
